company_id,year,capital_allocation,free_cash_flow,fcf_conversion,capex_intensity
GODREJCP,Mar 2018,Reinvestor,1387.0,66.55,3.41
GODREJCP,Mar 2019,Liquidating Assets,2003.0,93.95,2.66
GODREJCP,Mar 2020,Reinvestor,1036.0,48.1,5.57
GODREJCP,Mar 2021,Reinvestor,1738.0,72.45,2.65
GODREJCP,Mar 2022,Reinvestor,607.0,25.2,6.88
GODREJCP,Mar 2023,Reinvestor,397.0,16.25,13.17
GODREJCP,Mar 2024,Mixed,-1365.0,-46.16,24.37
GRASIM,Mar 2013,Mixed,-1445.0,-24.39,20.38
GRASIM,Mar 2014,Reinvestor,1213.0,24.68,8.25
GRASIM,Mar 2015,Reinvestor,2235.0,43.45,7.43
GRASIM,Mar 2016,Reinvestor,1353.0,22.89,13.09
GRASIM,Mar 2017,Reinvestor,3779.0,51.16,9.73
GRASIM,Mar 2018,Distress Signal,-2594.0,-22.34,2.77
GRASIM,Mar 2019,Growth Funded by Debt,-3871.0,-23.26,2.87
GRASIM,Mar 2020,Reinvestor,5256.0,50.67,16.65
GRASIM,Mar 2021,Reinvestor,7929.0,42.55,9.35
GRASIM,Mar 2022,Reinvestor,5985.0,29.29,1.1
GRASIM,Mar 2023,Growth Funded by Debt,-26397.0,-122.27,11.66
GRASIM,Mar 2024,Growth Funded by Debt,-33833.0,-124.41,17.65
HAL,Mar 2017,Unknown,2598.0,80.28,16.83
HAL,Mar 2018,Unknown,-140.0,-4.05,3.21
HAL,Mar 2019,Distress Signal,-2402.0,-52.57,26.45
HAL,Mar 2020,Mixed,203.0,4.16,6.22
HAL,Mar 2021,Shareholder Returns,13934.0,260.89,5.2
HAL,Mar 2022,Shareholder Returns,-2609.0,-48.14,51.95
